name,opened,sector,revenue,expenses,employees,locations,customers,ads,score1,score2,growth,potential,adsPerYear
YzsdysSm,1997,3,8343194,7481335,105,11,7,2689,50,3,-1019,8343194,129
Xeb,1991,4,1851222806,2329400129,31634,26,6,2502,60,45,300,,93
Wbo,1988,3,4844,3189,1,1,4,2424,50,3,-407,4844,81
Ne7,1996,3,33681,15751,1,1,2,2613,50,3,2167,33681,119
Bap,1993,13,16166948,23645597,265,16,1,2725,50,455,328,,109
Fnw,1999,3,480110,203821,19,4,2,2660,60,3,-1878,480110,140
E9ii,1993,6,7804798,7938440,342,5,292,2486,60,213,0,,100
Teq1,1993,6,1238647,664771,56,7,3,1848,60,1,2302,1238647,74
HahUUgh,1982,11,34112,22413,1,1,1,2251,60,466,417,34112,63
Mtf,2001,3,37526322,37644823,673,6,4,2564,60,7,1030,,151
Xdx Corp,1990,11,271622,466016,7,2,1,2448,40,5,-680,,88
Lzgv,1997,11,631671820,561886205,48129,25,1,3000,40,1044,368,631671820,143
Cn7a5Vtd,1988,12,374495,634733,38,7,5,2804,70,194,-317,,94
Wier,1988,6,4159062,3829325,40,2,4,2554,60,190,437,4159062,86
Zus Inc,1988,6,131628048,52561310,627,5,1,3005,60,7,-356,131628048,101
IfaYwsq Corp,1992,3,2984810,3287187,26,6,39,2252,60,190,1922,,87
FW1,2000,7,431612,212746,6,3,1,2183,45,46,761,431612,122
Zzj,1979,6,4877759,3255498,64,6,2,2680,60,99,-1324,4877759,69
Qhvgr,1999,8,1455887,2040481,18,4,1,2837,50,82,-632,,150
Mzpxse,1993,3,6092788756,4728098919,75868,54,2,2944,60,55,376,6092788756,118
Kn9,1995,4,219096535,203340237,2006,4,35,2119,65,13,-3548,219096535,93
Tod,1995,1,102558016,204799128,13563,17,5,2463,48,13,3733,,108
IoyfoR4 Corp,1989,3,1487939,1297039,10,4,4,2101,50,16,519,1487939,73
ElJb Corp,1987,6,573452,560288,9,3,11,2594,60,1,2125,573452,84
FfsT,1992,8,82918,72107,1,1,3,2134,40,37,-532,82918,83
Ybd,1985,6,5786320,3813277,28,4,1,2203,50,7,-190,5786320,67
Sbbxk,2001,10,11427856,12806094,64,8,1,2670,60,31,1118,,158
Wdlxj,1986,8,26712346,43837441,869,30,3192,2465,40,9,1092,,78
Q00nt75f,1985,3,3106959,5673717,424,2,3,2357,60,114,-476,,72
Ayco,1996,4,4139,4947,1,1,5,2310,40,35,-8519,,105
Yavl LLC,1995,11,50883659,49455943,725,13,3,2581,60,10,1454,50883659,113
Cklze,1980,3,115340,189499,4,2,4,2234,40,1,261,,59
Ovwjz,1988,10,9376495,18468625,709,4,8,2514,65,3,436,,84
Vuo,1981,3,425894,1541725,71,9,1,1677,40,1,457,,46
J48h,1991,6,5439,3549,1,1,9,2951,72,20,693,5439,110
M3gvpwb,1992,13,5085730,3969587,48,7,56,2342,51,2,822,5085730,91
RInzuz,2001,3,59590440,54612305,412,18,16,2168,50,1229,1587,59590440,128
Hz0wj LLC,1987,3,1021230,1354528,29,6,4,2561,60,139,-593,,83
Gtrx,1996,10,42205,55473,1,1,2,2472,60,17,-3282,,113
Yq1u,1996,6,2688511,5198641,126,12,1,2670,40,19,1893,,122
KZh,2001,2,2571868,3105566,19,5,3,2341,60,2,750,,138
Petp,1995,11,4287142,3012998,10,4,13,2813,50,5,366,4287142,123
Bbe,1989,6,725925,1855979,73,9,1,2627,60,387,877,,91
Xqofam,1995,3,14756,16520,1,1,3,3134,40,10,2716,,137
Cup,1990,10,49141,50024,1,1,1,2850,70,17,-1617,,102
H5K,1992,13,86593358,55173552,509,14,8,2758,60,1544,-953,86593358,107
F4lrk LLC,1983,3,83569,191531,8,3,1,1839,60,10,1975,,53
Gbo Corp,1999,8,1454,1942,1,1,1,3420,50,11,342,,180
Lsy,1995,3,13899684,9595407,52,3,1,2306,60,21,145,13899684,101
H9i2ppSs LLC,1990,1,2347456,1421961,94,10,4,3072,40,1,466,2347456,110
Zbo5Dr,1991,10,10116941,13681480,281,17,9,2870,34,57,-188,,107
JXa Corp,1993,10,95328379,75657106,881,1,1,3053,60,19,1311,95328379,123
Hwdh,1982,2,15125,11658,2,2,1,2843,40,734,1171,15125,79
Onz,1996,6,60317759,109541698,2331,2,6,2984,70,1,-3255,,136
Hv0ewy Corp,1985,8,196626,192343,3,2,3,2674,40,6,405,196626,82
Pcqt,1990,3,5792056,12259564,250,7,6,2565,65,4,654,,92
X94m,1991,7,4371036,4268853,80,9,2,2815,46,1,-11,4371036,105
Vspj7N,1986,8,213566552,270443641,3048,56,2,2206,40,4,-4124,,69
Yuqexp1 Corp,1992,3,32155989,44021249,414,21,1,3130,40,2,582,,121
VbR,1985,13,60049,28389,2,2,2,2688,40,277,-2876,60049,82
Ezr,1987,4,622981,504129,13,4,2,2589,60,41,-968,622981,84
PBql,1995,11,9030814,11101881,611,15,1,2449,60,6,885,,107
Nck9ivsg Corp,1986,3,426228924,428136561,18190,11,1,2702,40,225,-272,,85
I6p,1995,6,13516,8262,1,1,1,2438,40,12,2272,13516,106
SwxkB9,1982,3,79715,73761,3,2,5,2192,40,162,-668,79715,61
Smt,1990,2,24465225,24500993,260,4,1,3058,60,32,965,,110
Qho2cK,1989,10,1310266,562297,24,5,34,2196,40,229,566,1310266,76
Nfiq,1996,8,349212699,304936063,16200,11,2,2231,62,4,-340,349212699,102
Nv0,1991,13,912994930,626648600,17155,23,4,2520,55,12,-4952,912994930,94
XKr Corp,1987,10,1750623,1298697,8,3,13,2151,50,47,3082,1750623,70
Gbnm,2000,3,812901,760658,11,4,1,3160,60,1,-239,812901,176
Rgf,1997,2,54062402,95339708,1622,19,6,2629,40,150,-60,,126
Obn,1999,2,46755546,69523157,4931,8,4,2097,60,12,-4669,,111
Xh6,1990,10,2511990,2169860,56,8,5,2632,61,10,-1035,2511990,94
CvgA,1986,3,48602,48842,2,1,2,3177,60,21,-2388,,100
Yjw9 LLC,1991,2,24924978,57299005,930,31,3,1736,40,8,-1321,,65
D5zlb Corp,1987,6,1242480,1175492,12,4,1,2440,60,1,901,1242480,79
Ndn94,1995,10,1882897,1790392,10,4,1,2267,55,195,1354,1882897,99
W8xyt,1990,1,19064049,27721163,712,12,131,2507,60,189,-809,,90
Ljl,1991,6,2929724,2186577,57,8,2,2132,60,159,-2066,2929724,79
Ugo,1995,6,1907752,2284436,32,6,1,3215,54,221,-1766,,140
YaLw5,2001,4,1220719,685225,10,4,4,2320,60,36,847,1220719,137
Zux,1994,8,21435088,29107928,433,7,15,2675,60,10765,-190,,112
Ql0 Inc,1974,11,8292784,4511052,194,5,2,2701,50,80,310,8292784,62
Drml Inc,1983,3,10469,9982,1,1,38,2416,60,997,-2363,10469,70
Sqzj,1983,2,2303,3050,1,1,3,2398,60,13,-1213,,69
Xos,1986,2,10973786,8334416,525,23,9,2873,60,1,429,10973786,90
XpG,2000,2,9555708,5211693,323,18,7,2041,58,20,3479,9555708,114
MjboH LLC,1998,1,143515,521015,5,3,1,2378,70,41,171,,119
NupvwLamdjlp,1995,8,1693358298,1393369717,10406,24,7,2838,40,5,197,1693358298,124
Zmg,1992,3,26760046,54206514,2177,15,1,2768,60,343,-1393,,107
Qcq,1990,3,16474370,19000442,479,1,1,2890,60,50,295,,104
LZmy,1999,2,2061665,1720766,14,4,2,3355,60,43,-3010,2061665,177
Fdyjjy Corp,1993,8,5354069,9752942,263,4,4,3083,60,2,171,,124
Tnn,1999,6,792,1147,1,1,129,2595,60,7,-1823,,137
Zvq,1986,11,7990297,17636558,911,22,3,3045,50,6,-455,,96
RTz LLC,2000,8,7353023,17402153,306,16,16,2350,60,6,1969,,131
Sya Corp,1984,3,557904243,496609336,8516,34,13,2071,40,32,2606,557904243,61
X3joz,1992,9,440462,821829,41,7,1,2541,40,6,-1471,,98
Cqd LLC,1994,13,4385292,7268408,481,11,1,2817,57,12,-427,,118
Rcfu0,1998,6,31832326,18935451,559,24,10,3131,40,1,-6114,31832326,157
Kmye,1989,6,36161670,25645529,456,22,11,2648,60,3,2496,36161670,92
Adi,1992,12,3797049,4850254,38,7,4,2550,60,16,-968,,99
QRa0o,2003,8,4909098,4657396,296,18,1,2569,60,122,-2393,4909098,172
PJimv1xi,1984,6,2683469,1300539,68,9,1,2000,60,17,914,2683469,59
L6mHs,1982,3,342448816,119470336,7794,31,4,2577,60,1,-6743,342448816,72
ULg,1990,3,37081244,30514592,780,3,1,2163,50,2,515,37081244,78
Fpk,1992,3,2258315,2043178,37,4,32,2438,60,24,461,2258315,94
Xtsndu Corp,2000,12,3464370,4559132,34,6,4,2552,80,3,128,,142
CUn,1999,3,186050147,75129188,1632,19,1,2698,60,304,2435,186050147,142
Lqrve Corp,1984,11,178222024,146936516,7339,55,4,3553,65,12,1817,178222024,105
BkzbZvzsv3,1989,3,3261804,3347538,228,6,1,2500,50,14,4704,,87
ODgu,1986,3,111076767,50325002,1652,9,2,2401,40,1,-380,111076767,76
Bg4,1991,3,1724386,1434086,37,4,1,2448,80,2,-998,1724386,91
Pv27sL,2002,4,400366,1074611,20,5,14,2874,40,4,1166,,180
Hasc1sn,1986,10,3236878,1433811,88,10,2,2392,60,5,1968,3236878,75
Zw3,1992,9,6353,11233,1,1,119,2924,50,2,-1133,,113
Apl Corp,1988,6,327879,393760,7,3,3,2697,50,6,2816,,90
Zkoiv Corp,1988,6,2844602,1028507,27,6,1,3128,40,4,-43,2844602,105
LnSw,1988,6,101086418,141059325,2671,8,1,2451,50,31,538,,82
FBk,1987,13,429557,470002,7,3,10,2760,40,13,-38,,90
Ienvz LLC,1979,13,3174510,4849672,149,1,3,2545,60,4,2973,,66
Eh15sNpb,1990,10,799139,357639,17,5,2,2620,60,47,-926,799139,94
Vv6,2002,13,1811687,2096606,146,13,1,2698,40,14,-363,,169
ExoZ,1991,13,622010,478276,18,5,15,2456,50,6,508,622010,91
Wvs Corp,1989,3,1945688,1662659,27,6,2,2839,80,8,1975,1945688,98
Wqt Inc,1990,3,668149,1253405,27,6,1,3413,60,4,359,,122
Zdj,2004,3,267703,363275,5,3,36,2977,60,11,1890,,213
Uxm Corp,1979,9,3337,2041,1,1,1,2874,40,1,-1923,3337,74
Ekzg Corp,1982,3,77516,74265,4,2,9,1511,60,1,1292,77516,42
Gyz,1992,4,31111249,29190724,943,15,76,2139,40,17,346,31111249,83
Bnnlq,1993,11,1007611,731251,11,2,14,2810,40,212,-74,1007611,113
NqiW,2009,6,17080233,10364758,669,16,7,2403,40,11,-2482,17080233,267
Tvs,1991,8,74633265,61370180,2678,5,17,3052,40,38,2149,74633265,114
Feyp6ol,2002,11,229209587,187621855,10104,6,2,2939,60,52,690,229209587,184
Lhid,1990,2,830693033,1535502596,47319,10,2,2832,40,1,-193,,102
Ejz Corp,1991,3,38168138,41539395,615,25,5,2928,70,107,878,,109
Ah6,1995,3,9886236,2779710,126,10,1,2256,50,1,-1120,9886236,99
Sy3J,1993,3,173733566,236205020,2307,49,35,2946,79,1,792,,118
Vfryg,1995,10,2912226,3438917,26,6,3,2187,60,14,83,,96
QqbKfXde,1985,3,5760969,10212856,357,5,2,3097,50,120,1642,,94
YB204bs,1983,11,3173516,5393568,60,8,2,3021,40,3,810,,87
Wox,1985,2,458253187,157675746,7700,4,1,1918,60,1,2291,458253187,59
Sjy LLC,1989,11,159239,150227,2,2,1,2551,40,159,-752,159239,88
Zegh,1996,11,991400225,1500171621,120079,16,1,2936,40,6,1650,,134
Evs,1982,8,4192,4991,1,1,5,2955,60,1,-1350,,83
Saw,2005,11,25599650,22867420,176,9,1,3511,50,80,312,25599650,271
Dqvp,1998,3,8384,5198,1,1,9,2418,50,3,-582,8384,121
Wsr,1986,8,98644141,114788676,7191,1,6,2150,40,11,902,,68
Edx,1994,2,13552,10467,1,1,59,2307,40,7,411,13552,97
Jfa,2009,1,1987868,1161753,39,7,5,2094,60,14,9809,1987868,233
CpbHm,1988,3,185930,330457,15,4,1,3611,60,10,442,,121
BwnN,1983,13,1705433,1710696,48,7,1,2154,60,7,-1049,,62
GhShy Corp,1987,10,143410,96889,1,1,624,2614,45,135,-624,143410,85
CGSsPaOU,1994,2,21305,13441,1,1,1,2070,40,188,468,21305,87
E9z,1991,10,54,75,1,1,1,2646,60,134,425,,98
QSe59jfad Inc,1993,8,5078,1752,1,1,5,2274,58,10,177,5078,91
Kn0,1987,2,30290,35957,2,2,4,2710,70,84,138,,88
Ugtvgyd,1991,3,178654,214675,3,2,3,3035,50,1,907,,113
Hbsa,1998,3,1579582,1848658,20,5,4,2227,60,6,-360,,112
XLvlcmkev,1995,8,303308,151272,5,3,1,2621,40,37,537,303308,114
SjG Corp,1982,1,31934157,20146276,1019,32,9,3324,50,5,-107,31934157,93
Vkty,1996,3,5409542,4893156,35,6,1884,2847,50,6,4540,5409542,130
Alutz,1985,10,1628213,1812127,30,6,1,1986,40,2,1085,,61
Sbp Inc,1994,3,45916453,39911848,1643,25,2,3034,40,25,98,45916453,127
Iul Inc,1981,3,1476687,2616171,31,6,2,2418,40,16,-413,,66
VHmw Corp,1995,2,572857122,565199889,8282,29,1,2314,60,2,-314,572857122,101
VZviyc Corp,1981,6,111338600,113255324,2247,48,4,3166,60,21,4102,,86
Imxlbo,1986,6,469059,558279,26,6,1,2528,60,6,2319,,79
Xeo,1987,3,1320199,1152548,43,7,28,2642,70,94,456,1320199,86
Vhv,1996,3,203299,342364,17,5,31,2431,50,16,224,,111
Jzqhvulo Inc,1992,11,24787,35914,1,1,36,2286,72,475,536,,88
Bpf,1984,7,211865,78256,2,2,73,2276,55,3,-2699,211865,67
Hvq,1985,7,665101,302389,14,4,5,2147,40,6,1032,665101,66
Tph LLC,1992,3,160267858,162489182,9149,44,3,2456,60,134,7162,,95
LGgB Inc,2001,6,21306,37604,1,1,1,2803,40,36,-1477,,165
Xwvghsf,1980,11,1992828,1219416,40,7,4,2264,50,54,1292,1992828,60
Aej Corp,1984,8,1917597,2334347,65,2,47,2521,50,56,-295,,75
Gje Corp,1996,12,990594,676303,23,5,5,3144,50,6,843,990594,143
Nso,1991,10,208074,426484,6,3,1002,3061,70,2,701,,114
AvH Corp,1994,8,36759524,16832234,1250,7,4,2290,40,22,845,36759524,96
WDep,1981,3,1969191571,1561097061,9382,4,906,2638,20,130,1926,1969191571,72
AyPx Corp,1998,3,67186626,38175859,434,21,3,2098,60,36,2682,67186626,105
Wnwq Corp,1992,9,38506952,69018908,1221,5,26,2296,40,550,-1914,,89
TBqfbu3btc Corp,1986,3,111855,50693,1,1,18,2133,40,2,-1826,111855,67
Impfxycks Inc,1993,10,143178,102754,3,2,120,3500,70,39,149,143178,140
SiOeywev,1988,3,72381,199371,2,2,2,2520,60,2,1548,,84
Ff9dvdx,1989,3,9520,14819,1,1,4,2806,40,59,894,,97
Pqkp,1981,4,4983964,6222715,85,10,1,1981,50,84,215,,54
Jpk LLC,1988,9,236988,318486,20,3,1766,2496,60,1,1950,,84
Jzhzgg Inc,1997,11,489923,742666,23,5,7,2235,70,2,1634,,107
RwsPrvnnj,1996,9,1753333,1098356,26,6,1,3285,60,4,522,1753333,150
Ahk,1986,8,12122571,5339955,303,18,17,2812,50,350,1861,12122571,88
Caij LLC,1989,8,898381,847973,48,7,1,3243,40,7,-2672,898381,112
X7guw,1995,6,73060,77682,3,2,912,2489,60,5,305,,109
Znd,1985,6,1968958,3005665,79,9,1,3002,60,8,181,,91
SjExcm,1995,9,51171,50071,3,2,8,2942,60,50,1964,51171,128
Qqams,1992,9,8139,4988,1,1,2,3421,60,2,2751,8139,132
Nakz,1986,9,19497255,20180351,929,11,4,2435,65,7,2563,,77
Lbges4,1987,13,7066856,2683673,100,9,15,2496,40,5,-983,7066856,81
Zoalbcexuy Inc,1981,2,745878,1054113,13,4,5,2613,40,2,682,,71
Tnf,1992,12,143248,110450,10,4,1,2577,60,3,204,143248,100
ZwfabLy,1985,3,863028,958783,16,4,39,2838,60,2,-1611,,86
Fbfx0,1982,12,5426870,2910002,58,6,9,2738,40,2,-822,5426870,77
ZsdE,1985,3,939230069,1631336704,17125,3,1,2064,40,24,1070,,63
WBwqlmt,1998,6,46593,19581,2,2,19,2595,60,25,631,46593,130
QCj,1990,7,32594,32831,1,1,2,2712,60,18,1468,,97
FPtQgje Corp,2005,11,11517049,20137977,773,24,5,2262,50,616,-1190,,174
Fdmvpm37,1996,2,360292,472422,11,4,415,2418,40,5,1390,,110
Yrwrb Corp,2002,6,26832723,23791907,326,5,1,2718,40,25,243,26832723,170
Axn,1990,3,6216739,6192202,255,16,1,3619,40,1,2597,6216739,130
Ul4efw,2000,2,11113962,9367726,189,14,1,2123,40,1,-4788,11113962,118
Kil,1993,2,7291854,6687957,52,8,1,2770,53,12,-2111,7291854,111
Epcu,1974,3,11980008,17089357,314,4,1,3021,60,128,819,,69
U38 Corp,1982,4,4335351,7087206,571,6,2,2419,50,110,-800,,68
TwZs,1990,8,43292078,77507704,1818,37,2,2399,49,1,-2255,,86
Xusr Inc,1995,8,283882793,109148453,2408,8,9,2622,20,39,-1455,283882793,114
Gis,1992,3,36545600,26606582,311,12,3,2529,60,4,-860,36545600,98
X66aM,1988,8,42164,35616,3,2,2,2122,60,1,-2495,42164,71
XkgvWw4,1994,11,29339509,54778655,499,23,2,2910,40,1,646,,122
Q3zw0gm,1976,3,4133935,3793293,110,11,12,2702,50,1,156,4133935,65
Les12xzpZnX,2004,6,551367225,190357037,2396,18,1,2504,40,6,543,551367225,179
Ftq0 Inc,1994,11,30656,24335,1,1,1,3473,60,52,-630,30656,145
M51tgvk Corp,1987,8,244349344,297976508,5546,75,1,2849,40,3,1745,,92
IdF4xy,1999,9,553037,807282,10,4,13,2726,60,15,868,,144
B6csee5hqqc LLC,1988,4,6611431,20292217,1607,7,17,3087,70,12,-130,,103
J7b,1988,10,56316882,59660372,924,31,6,3582,66,23,-58,,120
BpsByvuN,1982,11,1068622,421958,16,4,2,2470,60,1,818,1068622,69
Pvx,1979,6,27009426,28611071,480,22,4,2831,40,736,1906,,73
Azwn,1982,9,429764,212207,2,2,2,2329,50,66,752,429764,65
Lwv,1991,10,434800,238615,2,2,1,2139,60,10,989,434800,80
Cdwomtwwr,1995,6,3519399,4405434,66,9,15,2953,40,1,-810,,129
AtY,1980,3,2136836,5213864,38,7,1,2707,63,65,91,,72
Gpi,1999,10,22080,45358,1,1,1,2534,60,14,0,,134
JYh,1993,11,83297,77462,5,3,2,3076,70,38,-935,83297,124
Ze0es,1995,13,69234601,41163823,1075,17,5,2187,49,388,817,69234601,96
Ajd,1988,3,94307666,145912871,2622,52,7,2296,80,2,190,,77
Sttg Corp,1999,1,12899,12281,1,1,17,2127,60,10,2255,12899,112
Qmdq,1996,6,1778182,1980270,58,8,39544,2957,40,55,514,,135
